Society,2023-08-01T000004,2023-08-01T010004,2023-08-01T020004,2023-08-01T030005,2023-08-01T040011,2023-08-01T050007,
3Bugs Fringe Theatre Society,49,49,49,49,49,49,
A Cappella,31,31,31,31,31,31,
ABACUS,109,109,109,109,109,109,
Adventist,8,8,8,8,8,8,
African & Caribbean,377,377,377,377,377,377,
Afro-Dance,17,17,17,17,17,17,
Ahlul Bayt,28,28,28,28,28,28,
Ahmadiyya Muslim,5,5,5,5,5,5,
Anime & Manga,194,194,194,194,194,194,
Archaeology,14,14,14,14,14,14,
Art Society,157,157,157,157,157,157,
Article 19,22,22,22,22,22,22,
Assassin’s Guild,10,10,10,10,10,10,
Atheists, Secular & Humanist,12,12,12,12,12,12,
BACAS,41,41,41,41,41,41,
Bad Film,169,169,169,169,169,169,
Baking,268,268,268,268,268,268,
BALADS,58,58,58,58,58,58,
Battle re-enactment,38,38,38,38,38,38,
Beer Pong Society,22,22,22,22,22,22,
Benchball,265,265,265,265,265,265,
Bengali,64,64,64,64,64,64,
Bhangra,38,38,38,38,38,38,
BioSoc,203,203,203,203,203,203,
Birmingham Investment and Finance,431,431,431,431,431,431,
Birmingham Marxist Society,38,38,38,38,38,38,
Black Law Students Society,15,15,15,15,15,15,
Book group,169,169,169,169,169,169,
Brumski & Board,839,839,839,839,839,839,
Brumsurf,218,218,218,218,218,218,
Buddhist Meditation,99,99,99,99,99,99,
BUDS,616,616,616,616,616,616,
Burn FM.com,152,152,152,152,152,152,
Business,352,352,352,352,352,352,
Calligraphy,39,39,39,39,39,39,
Canadian Society,80,80,80,80,80,80,
Caribbean Union,42,42,42,42,42,42,
Catholic,43,43,43,43,43,43,
Chess,87,87,87,87,87,87,
Chinese,46,46,46,46,46,46,
Chinese Christians Fellowship,12,12,12,12,12,12,
Christians In Science,8,8,8,8,8,8,
Circus,3,3,3,3,3,3,
Civil Engineering,98,98,98,98,98,98,
Cocktail,428,428,428,428,428,428,
Computer & Videogames,126,126,126,126,126,126,
Computer Science Society (CSS),420,420,420,420,420,420,
Conservatives,18,18,18,18,18,18,
Consulting,1,1,1,1,1,1,
Craft,225,225,225,225,225,225,
Criminology,111,111,111,111,111,111,
Croquet,4,4,4,4,4,4,
Czech & Slovak,1,1,1,1,1,1,
Dancing Street Society,16,16,16,16,16,16,
Darts Society,101,101,101,101,101,101,
DCL,92,92,92,92,92,92,
Debating,118,118,118,118,118,118,
Deeper Life,13,13,13,13,13,13,
Dental Society (BUDSS),291,291,291,291,291,291,
Devil’s Advocate Society,71,71,71,71,71,71,
Doctor Who,60,60,60,60,60,60,
EconSoc,235,235,235,235,235,235,
Education,22,22,22,22,22,22,
ELAL (English Language and Linguistics),60,60,60,60,60,60,
ELSA,145,145,145,145,145,145,
Emirati Society,6,6,6,6,6,6,
Energy,24,24,24,24,24,24,
Esports,72,72,72,72,72,72,
Filipino,55,55,55,55,55,55,
Filmsoc,161,161,161,161,161,161,
First Love,12,12,12,12,12,12,
Fitness and Wellbeing Society,14,14,14,14,14,14,
Folk,32,32,32,32,32,32,
Game of Thrones,22,22,22,22,22,22,
Games Development,36,36,36,36,36,36,
German,25,25,25,25,25,25,
Ghanaian,42,42,42,42,42,42,
Gilbert and Sullivan,40,40,40,40,40,40,
Gin,47,47,47,47,47,47,
Gluten Free Society,9,9,9,9,9,9,
GMTG,70,70,70,70,70,70,
Gospel Choir,19,19,19,19,19,19,
Greek and Cypriot Society,2,2,2,2,2,2,
Growing In Faith & Truth,5,5,5,5,5,5,
Guild TV,56,56,56,56,56,56,
Harry Potter,100,100,100,100,100,100,
Hellenic & Cypriot,5,5,5,5,5,5,
Hide and Seek Society,47,47,47,47,47,47,
Hindu,292,292,292,292,292,292,
History,210,210,210,210,210,210,
History of Art,50,50,50,50,50,50,
Hong Kong PASS,53,53,53,53,53,53,
Hookers and Stitchers,157,157,157,157,157,157,
HSE,2,2,2,2,2,2,
Human Resources Society,3,3,3,3,3,3,
Indian,313,313,313,313,313,313,
Infinity Stage Company,39,39,39,39,39,39,
Islamic,345,345,345,345,345,345,
Islamic Arts and Heritage,41,41,41,41,41,41,
Italian,29,29,29,29,29,29,
Japan Society,28,28,28,28,28,28,
Jazz Funk & Soul,103,103,103,103,103,103,
Jewish,95,95,95,95,95,95,
Just Dance Society,24,24,24,24,24,24,
Kabaddi,8,8,8,8,8,8,
Karaoke,3,3,3,3,3,3,
KASE: Knowledge And Skills Exchange,5,5,5,5,5,5,
KCover,224,224,224,224,224,224,
Kickboxing,177,177,177,177,177,177,
Labour,77,77,77,77,77,77,
LapSoc,5,5,5,5,5,5,
LARP,53,53,53,53,53,53,
Law for Non-Law,21,21,21,21,21,21,
Lebanese Society,3,3,3,3,3,3,
Liberal Arts & Natural Sciences,110,110,110,110,110,110,
Liberal Democrats,10,10,10,10,10,10,
Life Ambassadors,1,1,1,1,1,1,
Linguist,50,50,50,50,50,50,
Lithuanian,6,6,6,6,6,6,
Live Art Society,17,17,17,17,17,17,
LUM Soc,59,59,59,59,59,59,
Malaysian,70,70,70,70,70,70,
Mantality Society,22,22,22,22,22,22,
Mathsoc,279,279,279,279,279,279,
Metal,63,63,63,63,63,63,
Middle earth,28,28,28,28,28,28,
Mixed Martial Arts,200,200,200,200,200,200,
Modern Languages,170,170,170,170,170,170,
Mooting,34,34,34,34,34,34,
Mountaineering,176,176,176,176,176,176,
Muay Thai Boxing,75,75,75,75,75,75,
Navigators,33,33,33,33,33,33,
Nepalese,5,5,5,5,5,5,
Nerdsoc,65,65,65,65,65,65,
Neuroscience,37,37,37,37,37,37,
North African,10,10,10,10,10,10,
Nursing Society,193,193,193,193,193,193,
Omani Society,2,2,2,2,2,2,
oSTEM,49,49,49,49,49,49,
Pakistan,96,96,96,96,96,96,
Panto,73,73,73,73,73,73,
Parkour,9,9,9,9,9,9,
Pasta,102,102,102,102,102,102,
PCOS Society,19,19,19,19,19,19,
Pentecostal Christians,51,51,51,51,51,51,
Pharmaceutical,61,61,61,61,61,61,
Philosophy,142,142,142,142,142,142,
PhotoSoc,135,135,135,135,135,135,
Physiosoc,3,3,3,3,3,3,
Pilates Society,52,52,52,52,52,52,
Planning,51,51,51,51,51,51,
Poker,63,63,63,63,63,63,
Pole Fitness,252,252,252,252,252,252,
Polish,13,13,13,13,13,13,
Politics,242,242,242,242,242,242,
Potter Tea Society,177,177,177,177,177,177,
Powerlifting,98,98,98,98,98,98,
PPE Society,40,40,40,40,40,40,
Psychedelics Research,16,16,16,16,16,16,
Psychology,322,322,322,322,322,322,
Punjabi,71,71,71,71,71,71,
Quiz Society,89,89,89,89,89,89,
RailSoc,35,35,35,35,35,35,
Real Ale & Cider,51,51,51,51,51,51,
Reclaim Society,39,39,39,39,39,39,
Redbrick,225,225,225,225,225,225,
Rollerskate Society,116,116,116,116,116,116,
Rounders,138,138,138,138,138,138,
Russian Speaking Society,16,16,16,16,16,16,
SATNAV,14,14,14,14,14,14,
Saudi,66,66,66,66,66,66,
Scouts & Guides,35,35,35,35,35,35,
Self Defence for women and non-binary people,49,49,49,49,49,49,
Shakespeare,40,40,40,40,40,40,
Sign Language,90,90,90,90,90,90,
Sikh,86,86,86,86,86,86,
Silent Film,3,3,3,3,3,3,
Singapore Society,45,45,45,45,45,45,
Sitcom Society,50,50,50,50,50,50,
Skateboarding,8,8,8,8,8,8,
Sober Socials,174,174,174,174,174,174,
Spanish,24,24,24,24,24,24,
SPEX,28,28,28,28,28,28,
Sports Clubs,110,110,110,110,110,110,
Sri Lankan Society,13,13,13,13,13,13,
Student Christian Movement,16,16,16,16,16,16,
Student Exchange,43,43,43,43,43,43,
Sudanese Society,1,1,1,1,1,1,
Tabletop Gaming,205,205,205,205,205,205,
Taiwanese Society,27,27,27,27,27,27,
Tamil,79,79,79,79,79,79,
Tea Society,116,116,116,116,116,116,
The Birmingham Footnotes Comedy Society,19,19,19,19,19,19,
The End Time Mission,2,2,2,2,2,2,
The University of Birmingham Guild of Students Yoga Society,405,405,405,405,405,405,
Theology and Religion,4,4,4,4,4,4,
Toastmasters,45,45,45,45,45,45,
Turkish,7,7,7,7,7,7,
UBCU,122,122,122,122,122,122,
University of Birmingham Astronomical Society,125,125,125,125,125,125,
University of Birmingham Rock Society,46,46,46,46,46,46,
UOB Girl Gamers,67,67,67,67,67,67,
UoB Sing!,52,52,52,52,52,52,
UoB Social Work Society,11,11,11,11,11,11,
Vegetarian & Vegan Soc,86,86,86,86,86,86,
Watch This,50,50,50,50,50,50,
Wayfarers Hiking Society,336,336,336,336,336,336,
Weightlifting,55,55,55,55,55,55,
Welsh,51,51,51,51,51,51,
Wilderness Medicine,3,3,3,3,3,3,
Women in Law,92,92,92,92,92,92,
Women in Medicine,39,39,39,39,39,39,
Women In Politics,79,79,79,79,79,79,
Writer's Bloc,98,98,98,98,98,98,
